epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,lr,train_l1,train_grad,train_seg,train_bg
33,0.418243683835186,0.4236919888678719,4.3195267,7.657961,0.689664363861084,2.8711035421746357e-05,0.10202608622176937,0.20741254217410213,0.2235297416410749,0.06588311684588907
34,0.4117724479190887,0.423525292207213,4.273035,7.5526915,0.6981377005577087,2.591231629491422e-05,0.10005259643944484,0.20508637724730072,0.22147297409791794,0.06641610230876024
35,0.41500456631183624,0.4211507886648178,4.2145066,7.460634,0.705451488494873,2.3208660251050148e-05,0.1014804891138165,0.20625601397462623,0.22059325227346369,0.0660937321052034
36,0.4168058809622255,0.42299678921699524,4.273477,7.549949,0.6983568668365479,2.061073738537634e-05,0.10152129085842894,0.2066473387300022,0.22415422029280788,0.06609596327814475
37,0.41339233564952066,0.420010787599227,4.212687,7.401007,0.7101408243179321,1.8128800512565503e-05,0.10049333510102418,0.20505871125078076,0.22105381921643302,0.06612704465628932
38,0.40695139426718313,0.4179454822750652,4.2219114,7.4115543,0.7093141078948975,1.5772644703565555e-05,0.09764417554572145,0.20362319927366954,0.21941039770368545,0.06700994748444784
39,0.40705341778735005,0.41841558410840873,4.18176,7.392328,0.7108203172683716,1.3551568628929426e-05,0.09794504648793942,0.2039509384089677,0.21716773194610758,0.06649125980400535
40,0.40718647143828174,0.4189504384994507,4.207381,7.497207,0.7025566101074219,1.1474337861210536e-05,0.09770807614007955,0.20490547253814323,0.21849839211929412,0.06627363494779698
41,0.40437927282361125,0.4178445067475824,4.126046,7.3386865,0.7150018811225891,9.549150281252626e-06,0.0970031909210972,0.20315536620124938,0.2162602742513021,0.06644698423604486
42,0.40652057867516916,0.4168808539124096,4.1735625,7.3864965,0.7112764120101929,7.783603724899252e-06,0.0974678408807863,0.20306335673445747,0.21788940385535913,0.06707369496740362
43,0.40554043887153507,0.4174770975814146,4.17943,7.3737273,0.7122737169265747,6.184665997806817e-06,0.09633008055586033,0.20365343049720483,0.22100503817594871,0.0664783468046201
44,0.40299920043932697,0.41441113457960244,4.1656604,7.3094645,0.7172670364379883,4.75864737669903e-06,0.09636719753502537,0.20336286960140107,0.21533139783238608,0.06621575720174602
45,0.40220439678462094,0.4143026541261112,4.158077,7.3167925,0.7166998386383057,3.5111757055874303e-06,0.09608805094840665,0.20311565235966728,0.2152511853941534,0.06651397191342853
46,0.4011629044063508,0.41666171918897066,4.15191,7.3237576,0.716160237789154,2.4471741852423216e-06,0.09568166853022322,0.20186448100185583,0.2145338268191726,0.06740047749151629
47,0.39810501543617755,0.41392149820047264,4.14618,7.314371,0.716887354850769,1.5708419435684504e-06,0.094684763619351,0.2018253585648915,0.2133650789973597,0.06617526246835946
48,0.40582450979916507,0.4154464646297343,4.163743,7.335924,0.7152163982391357,8.856374635655631e-07,0.09697272646285239,0.20302197313497936,0.21936995618873173,0.06644997864015519
49,0.40424185478813435,0.41408022273989287,4.153504,7.352267,0.7139461040496826,3.942649342761114e-07,0.09692513558363157,0.2028796443390468,0.21511093184115396,0.06662746394673984
50,0.40210413846073956,0.4157606038977118,4.181787,7.3622913,0.7131655216217041,9.866357858642197e-08,0.09614418234143939,0.20287336882144685,0.21481590966383615,0.06620849682777016
