epoch,train_loss_total,train_loss_building,train_loss_background,val_loss_total,val_mae,val_rmse,val_r2,learning_rate
1,0.05847330888597214,0.017588987408904022,0.40884320735931395,0.04949941644350311,7.496424211248667,14.135704397022769,0.362849036619293,0.0001
2,0.04355642480361677,0.01735766777550763,0.26198756647737403,0.04213137876038809,7.263796640452778,12.090980540579162,0.5338448580548114,9.990133642141359e-05
3,0.03976008695011188,0.017479124047647523,0.22280962514249902,0.03827590503976941,7.1896345250053155,12.034232882122312,0.5382102831919479,9.96057350657239e-05
4,0.03726802751987562,0.01680579704455028,0.20462230036133214,0.03444720013148609,6.9785999995041115,11.570842223125542,0.5730889676747544,9.911436253643444e-05
5,0.035614748229855976,0.016650680795061944,0.18964067038736845,0.03521023977854856,6.896552216756621,11.167118629968297,0.6023603396683608,9.842915805643155e-05
6,0.03517896932633352,0.0168163232469564,0.18362645742140318,0.03271939308193102,6.573609566388389,11.022489473290948,0.6125935740344317,9.755282581475769e-05
7,0.03317893759076863,0.015921349655581327,0.1725758759598983,0.030624433760183273,6.629779593812622,10.841039593962192,0.6252433951073582,9.648882429441257e-05
8,0.03283500281700865,0.016285652780014235,0.16549349772302727,0.030469685070646225,7.378975624284797,11.5590318159493,0.5739600226646769,9.524135262330098e-05
9,0.031269630726227404,0.01506010467990109,0.16209525638505032,0.028749290507455172,6.2640558985093575,10.532714331856926,0.6462568445340406,9.381533400219317e-05
10,0.030411820582353574,0.014859030335057533,0.1555279000809318,0.028300675879302028,6.168380995875461,10.10100779756548,0.6746604606587302,9.221639627510075e-05
11,0.02979837508975965,0.014724455587623695,0.15073919264893781,0.028074902550951623,5.670216748445311,9.594784845731134,0.7064528179089863,9.045084971874735e-05
12,0.02850997129220246,0.014219499378027141,0.14290471704382646,0.026995776023064313,6.167461598963619,10.44947732800954,0.6518258125496654,8.852566213878945e-05
13,0.028538949374563645,0.01432885206908698,0.14210097083919926,0.02696905748074334,5.965721432178061,9.774089360375422,0.6953788556798821,8.644843137107056e-05
14,0.028171203026759906,0.01421079261729996,0.1396041023888086,0.026333036797484652,6.221248472290976,10.097745561692328,0.6748705709670161,8.422735529643442e-05
15,0.02775290124657043,0.014135617640747054,0.13617283388188012,0.02671953800024504,6.475746381228141,10.66306016229127,0.6374472916234301,8.187119948743447e-05
16,0.027381500322298278,0.013691922203613241,0.13689577948105963,0.025082195922293767,5.8751227771991985,9.73790158244456,0.6976303504212507,7.938926261462366e-05
17,0.02634033623035141,0.013170219619918499,0.13170116410443658,0.025112031017839334,5.448639830825334,9.278821243532533,0.7254679513624559,7.679133974894982e-05
18,0.02619572381961539,0.013278071122852174,0.12917652522262774,0.025013357726953234,6.281025809721427,9.989531953317673,0.6818018022871098,7.408768370508575e-05
19,0.02556614334442077,0.0129421565759335,0.12623986546930513,0.024437577582500574,5.859504066403857,9.82873886684372,0.6919628985373337,7.128896457825361e-05
20,0.025554083316349886,0.012887878832856504,0.12666204344285162,0.024239310273681876,5.259477959269992,8.905624243888388,0.7471073725727824,6.840622763423389e-05
21,0.024915913230919434,0.012640667082480617,0.12275245966095673,0.024060719708943752,5.3328450700738745,9.10653528081013,0.735568137667729,6.545084971874736e-05
22,0.02458167852942973,0.012486733833536648,0.12094944488061102,0.023958427464975864,5.4790064680192385,9.228645714158255,0.7284290057235525,6.243449435824272e-05
23,0.02480745217798522,0.01277825624815678,0.12029195820030412,0.023656913449519507,5.584324550527892,9.40618691173815,0.7178795008751229,5.9369065729286224e-05
24,0.024854824683900333,0.01271320791398107,0.12141616579733397,0.02365016230475815,5.028042587804147,8.779475706979035,0.7542210991916743,5.626666167821521e-05
25,0.02427372756067907,0.012558343782009748,0.11715383576719385,0.023138741736983957,5.4252180761423885,9.207121365681848,0.729694320738982,5.3139525976465657e-05
26,0.023466687428274804,0.011918902313189662,0.11547784891567732,0.02294462011867336,5.11651884886824,8.800498934543752,0.7530426114477793,4.999999999999998e-05
27,0.023320340361155833,0.011906981287723974,0.11413358889128032,0.023047898971144006,5.574079773856349,9.241279753641779,0.7276849339884472,4.6860474023534314e-05
28,0.023064237557392456,0.011682924676139192,0.11381312702831468,0.02273838125325181,5.651908190874236,9.540614201185196,0.7097581032771174,4.3733338321784775e-05
29,0.022746173376681476,0.01161692165619968,0.1112925153813864,0.022517567505371417,5.398416074172732,8.937156496497368,0.7453133621143808,4.063093427071375e-05
30,0.02367487525167798,0.012454493715304,0.11220381369716242,0.02294465023752096,5.464453196981555,9.148481294396474,0.733126504817119,3.756550564175724e-05
31,0.02400675427000075,0.012517533213371582,0.11489220888991104,0.022421584995157704,5.273484534240451,8.989941947499373,0.742295970531212,3.454915028125263e-05
32,0.02280079037659573,0.01160348563134196,0.11197304553107211,0.022418529967897376,5.003430358968254,8.574845723388512,0.7655446945344241,3.1593772365766105e-05
33,0.022920493669578643,0.011971109072007366,0.10949384389739288,0.022063171423959416,5.370688676077363,8.995998128089672,0.7419486428525361,2.8711035421746357e-05
34,0.02218231224325698,0.011153963588748383,0.11028348497654263,0.021997308796024823,5.2222318352492785,8.827195227761186,0.7515420495821445,2.591231629491422e-05
35,0.022066874880427797,0.011344357511210799,0.10722517182952479,0.021998179914162266,5.285909867989407,8.87165894535295,0.749032716243069,2.3208660251050148e-05
36,0.02185739240292471,0.011139798759698595,0.10717593439315495,0.021826981234713588,5.349532872871657,8.948397659504963,0.7446722690465757,2.061073738537634e-05
37,0.02147180784771464,0.010884117253549697,0.10587690433389262,0.02160066492545738,5.080001246506892,8.677231127476048,0.7599123804201475,1.8128800512565503e-05
38,0.021503397359868386,0.010962915683471814,0.10540481515620884,0.02155227893590056,5.012601045066087,8.563802922162814,0.7661481750670613,1.5772644703565555e-05
39,0.02171658584826921,0.011082072197983633,0.10634513481667167,0.021599262341390677,5.05730980177616,8.66057609262869,0.760833141916593,1.3551568628929426e-05
40,0.02151843468907165,0.011074472451126914,0.1044396208305108,0.021596608056752332,5.194941785390807,8.80838127326758,0.7526000289175485,1.1474337861210536e-05
41,0.021240486918870292,0.01072783042585587,0.10512656334199404,0.021491423256139588,5.238586704194458,8.819476881543194,0.7519763542593323,9.549150281252626e-06
42,0.021830324920069286,0.011357074832130465,0.10473249923241766,0.021542934210057627,5.334536207873287,9.010990320626945,0.7410878202302716,7.783603724899252e-06
